점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
2002-11-06,2002-11-06,B,,,,A,N,상천교(확),A,,
1995-11-18,1995-11-18,B,,,,A,N,자등교,A,,
1996-11-28,1996-11-28,B,대체로양호,,,A,N,자등교,A,,
1997-11-20,1997-11-20,C,연석부 박리 보수요,,,A,N,자등교,A,,
1995-11-18,1995-11-18,B,,,,A,N,객현교,A,,
2003-11-19,2003-11-19,B,,,,A,N,장흥교(확),A,,
1994-11-01,1994-11-01,C,,,,B,N,송우교,A,,
1996-11-11,1996-11-11,B,,,,,,B,N,송우교,A
1997-11-18,1997-11-18,C,"교면이 전반적으로 균열이 발생하여 보수보강이 요망됨, 신축이음장치 파손으로 기능상실, 교대 및 교각 미세균열 발생하여 철근부식우려",,,C,N,송우교,A,,
1995-11-18,1995-11-18,B,,,,A,N,포천3교,A,,
2003-11-19,2003-11-19,B,,,,C,N,포천3교,A,,
2002-11-07,2002-11-07,B,,,,A,N,만세교(구),A,,
1999-10-30,1999-10-30,C,,,,B,N,서두교,A,,
2001-12-05,2001-12-05,B,,,,A,N,서두교,A,,
2000-12-04,2000-12-04,B,,,,A,N,1금남교,A,,
2003-11-19,2003-11-19,B,,,,A,N,청안내교,A,,
1998-06-28,1998-06-28,C,,,,C,N,마치교,A,,
1995-11-18,1995-11-18,B,,,,A,N,소석교,A,,
1996-12-09,1996-12-09,B,,,,,A,N,소석교,A,
2003-04-06,2003-04-06,C,3등교로 교량개축예산요청,,,D,N,마장교,A,,
2001-12-10,2001-12-10,B,,,,A,N,다대교(하),A,,
2002-10-30,2002-10-30,B,,,,A,N,눌노교*,A,,
2001-11-24,2001-11-24,B,,,,A,N,금파교*,A,,
2002-10-30,2002-10-30,B,,,,A,N,금파교*,A,,
1999-10-22,1999-10-22,C,,,,A,N,가평육교,A,,
1998-06-20,1998-06-20,C,"상판일부백화, 상판미세균열",,,C,N,육교1,A,,
1998-04-03,1998-04-03,C,교량의 정기점검결과 교량의 상태가 양호한 것으로 사료됨,,,C,N,임송교,A,,
1998-06-25,1998-06-25,C,". 교면포장은 전반적으로 폴리싱이 진전된 상태이고 c램프, 본선s9에서 요철이 발생되었다
. 배수구(25개소)상부에는 토사가 퇴적되어 체수의 우려가 있을 것으로 보임
. s6 box의 splice plate는 볼트체결 미비로 인해 이완이 2개소 조사되었다
. 교대의 흉벽과 구체를 연결하는 최고 6mm의 수직균열이 조사되었으며, 균열",,,C,N,신청평대교,A,,
2001-12-08,2001-12-08,B,,,,A,N,이동교*,A,,
1997-11-11,1997-11-11,C,"본교량은 슬리브교량으로 일부 미세균열이 하면부에 발견되었고, 신축이음장치의 후타재 균열 일부가 발생되어있음",,,C,N,2금남교,A,,
1997-11-20,1997-11-20,C,".교면포장및슬라브하면은 양호한상태이고, 난간 연석부와 교대및 교각이 부분적으로 미세균열 배수시설은 다소체수되는 구간이 있다",,,C,N,덕소강변대교,A,,
2000-12-07,2000-12-07,B,,,,A,N,경교,A,,
1997-11-30,1997-11-30,C,"상판슬래부하면부에 전경간에 걸처 다수균열발생(0.25MM),  배수구는 3개소정도가 토사퇴적되어있음",,,C,N,장흥철도육교*,A,,
1999-03-18,1999-03-18,C,"정밀안전진단의 수행결과 교량의 구성부재별 단면특성(콘크리트강도및 철근배근상태)및 설계하중, 시험차량의 거동등을 분석한 결과 설계하중인 DB24이상의 내하력을 확보하고 있는것으로 나타남",,,B,N,광전1교,A,,
2002-11-06,2002-11-06,B,,,,A,N,광전2교,A,,
2001-12-05,2001-12-05,B,,,,C,N,마전교(확),A,,
2002-11-13,2002-11-13,B,,,,A,N,도대1교,A,,
2001-12-03,2001-12-03,B,,,,A,N,오목교,A,,
2000-11-13,2000-11-13,B,,,,A,N,덕평1교,A,,
2002-10-25,2002-10-25,B,,,,A,N,덕평1교,A,,
2001-12-08,2001-12-08,B,,,,A,N,공흥육교,A,,
2002-10-28,2002-10-28,B,,,,A,N,공흥육교,A,,
2000-11-18,2000-11-18,B,,,,A,N,삼성교(상),A,,
2000-11-21,2000-11-21,B,,,,C,N,양원교,A,,
2002-10-28,2002-10-28,B,,,,A,N,양원교,A,,
2001-11-21,2001-11-21,B,,,,A,N,광전3교,A,,
1999-05-11,1999-05-11,C,,,,B,N,경강교(구),A,,
1998-06-20,1998-06-20,C,97년말에 준공된 교량으로 대체적으로 각부재가 양호한 편임,,,C,N,부평2육교,A,,
2000-11-30,2000-11-30,B,,,,A,N,부평2육교,A,,
2002-11-04,2002-11-04,B,,,,A,N,부평2육교,A,,
1998-06-21,1998-06-21,C,97년말 준공된 교량으로 대체적으로 각 부재가 양호한 편임,,,C,N,부평2교,A,,
2000-12-01,2000-12-01,B,,,,A,N,부평2교,A,,
2002-11-05,2002-11-05,B,종조인트불량,,,C,N,다대소교(상),A,,
2001-12-03,2001-12-03,B,,,,A,N,봉상1교,A,,
2001-12-06,2001-12-06,B,,,,A,N,단월교,A,,
2002-11-16,2002-11-16,B,양호,양호,육안조사,A,N,진목교,A,,
1997-12-09,1997-12-09,B,,,,B,N,고읍교,A,,
2004-03-18,2004-03-18,B,설계하중 이상 확보,,,B,N,사랑교,A,,
2004-03-18,2004-03-18,B,설계하중 이상 확보.,,,B,N,양원교,A,,
2004-03-18,2004-03-18,B,설계하중 이상 확보,,,B,N,포천3교,A,,
2004-06-07,2004-06-07,A,,,,C,N,장곡IC육교,,,
2004-10-04,2004-10-04,A,양호,,,C,N,장단2교,A,,
1999-10-15,1999-10-15,B,,,,B,N,청평2교,A,,
1999-12-01,1999-12-01,B,,,,B,N,하색교(확),A,,
2001-11-01,2001-11-01,B,내하력 평가결과 안전성에는 문제가 없는 것으로 판단됨.,,,B,N,부평육교,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,자안1육교,A,,
2004-02-23,2004-04-12,B,"노면일부 소성변형, 도장 퇴색, 신축이음 파손 및 누수, 교대미세균열 발생","소성변형,도장퇴색,파손,누수,미세균열",보수요망,A,N,영덕고가차도(하)*,A,,
2004-06-11,2004-06-24,A,양호,양호,,A,N,하도교,A,,
2003-02-24,2003-04-24,B,보수요망,전반적손상,보수요망,A,N,오리교,A,,
2003-05-20,2003-06-07,B,양호,양호,,A,N,해창교*,A,,
1994-11-18,1994-11-18,C,,,,A,N,답내교(확),A,,
1994-11-17,1994-11-17,C,,,,A,N,대성교,A,,
1994-11-16,1994-11-16,C,,,,B,N,상천교(확),A,,
1994-11-18,1994-11-18,C,,,,A,N,답내교(확),A,,
1995-11-18,1995-11-18,B,,,,A,N,답내교(확),A,,
2001-12-10,2001-12-10,B,,,,A,N,삼성교(하),A,,
2002-10-28,2002-10-28,B,,,,A,N,삼성교(하),A,,
2000-11-16,2000-11-16,B,,,,A,N,백안2육교,A,,
2002-11-05,2002-11-05,B,,,,A,N,신백의교,A,,
2001-11-22,2001-11-22,B,,,,C,N,부평IC 1교,A,,
2001-12-11,2001-12-11,B,,,,A,N,서파육교,A,,
2002-11-11,2002-11-11,B,,,,A,N,서파육교,A,,
2004-06-15,2004-06-15,B,,,,B,N,양벌대교,,,
2004-11-10,2004-11-10,B,,,,B,N,양벌대교,,,
2004-06-15,2004-06-15,B,,,,B,N,고산육교,,,
2004-11-11,2004-11-11,B,,,,A,N,신원육교,,,
2004-11-02,2004-11-02,A,양호,,신축이음(TF) 교체 완료,A,N,신궁2육교,,,
2004-06-09,2004-06-09,B,,,,A,N,대서육교,,,
2004-06-16,2004-06-16,B,,,,C,N,이호대교,,,
2004-06-16,2004-06-16,B,,,,A,N,부평교,,,
2004-11-11,2004-11-11,B,,,,A,N,부평교,,,
2001-11-06,2001-11-06,A,교면포장부소성변형,,,C,N,등원교,A,,
2002-03-18,2002-03-18,A,교면포장부소성변형,,,C,N,등원교,A,,
2001-05-24,2001-05-24,A,양호,,,C,N,등원교,A,,
2002-10-16,2002-10-16,A,교좌장치플레이트및연결볼트녹발생,,,C,N,등원교,A,,
2004-06-15,2004-06-15,B,,,,B,N,번천2교,,,
2004-11-11,2004-11-11,B,,,,A,N,묘봉교,,,
2004-11-10,2004-11-10,B,,,,A,N,번천1교,,,
2004-06-07,2004-06-07,B,,,,A,N,굴포교(상),,,
2004-06-07,2004-06-07,B,,,,C,N,원대교,,,
2004-06-07,2004-06-07,B,,,,C,N,백암교,,,
2004-11-01,2004-11-01,B,,,,C,N,백암교,,,
2004-06-07,2004-06-07,B,,,,C,N,근곡교,,,
2004-11-08,2004-11-08,B,,,,C,N,양지고가차도,,,
2004-11-08,2004-11-08,B,,,,C,N,양촌교,,,
2004-06-14,2004-06-14,A,양호,,,A,N,방초교,,,
2004-11-10,2004-11-10,B,,,,C,N,오포육교,,,
2004-11-09,2004-11-09,B,,,,C,N,진암3교,,,
2004-11-03,2004-11-03,B,,,,A,N,발안1육교,,,
2004-11-04,2004-11-04,B,,,,A,N,자안교,,,
2004-06-14,2004-06-14,B,,,,A,N,자안2육교,,,
2003-10-27,2003-10-27,C,상판및주형백태,,,C,N,다락과선교,A,,
2004-11-01,2004-11-01,A,양호,,,C,N,도신육교,A,,
2003-10-27,2003-10-27,A,접속부미세균열,,,C,N,팔봉1교,A,,
